ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26
61299,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Slightly agree,Slightly agree
44619,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly disagree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree
81489,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree
26881,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree
10895,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree
72555,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree
20900,Slightly agree,Slightly agree,Slightly disagree,Strongly agree,Strongly agree,Slightly agree,Strongly disagree,Slightly agree,Slightly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly agree,Strongly disagree,Slightly disagree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Strongly disagree
36438,Strongly disagree,Slightly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Slightly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree
15535,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly agree,Strongly agree
78214,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Strongly agree,Slightly agree,Slightly agree,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree,Slightly disagree,Slightly agree,Strongly agree,Slightly agree
